suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
Diagnosis,vyAdhi-viniScayaH,AYU,25%,"'Vyadhi-viniScayaH' (व्याधि-विनिश्चयः) translates to 'diagnosis of disease' in Ayurveda, which is a procedural term and not a specific disease or condition, therefore mapping it directly to a single ICD-11 code is difficult with low confidence.",,,,,,,,
Disorder of the nervous system,vikAraH,DIS,50%,"The term 'vikAraH' (विकारः) in Ayurveda, lacking a specific definition, broadly indicates a disturbance or impairment.  Without further context, 'Disorder of the nervous system' is a plausible, though non-specific, ICD-11 category.",,,,,,,,
"Disorders of the nervous system, unspecified",majjAvahasrotovikAraH,EH,60%,"The term 'majjAvahasrotovikAraH' refers to a disorder of the 'majjā' (bone marrow/nervous system) and 'srotas' (channels), suggesting a broad neurological issue, lacking more specific details for a higher confidence mapping.",Vaḷi (Vāta)Nōykaḷ,Z,70%,"'Vāta' in Siddha medicine is associated with air and nerve function;  'Vāta Nōykal' encompassing diseases related to 'Vāta' lacks specificity, making 'Disorders of the nervous system, unspecified' the most plausible broad ICD-11 category.",,,,
Other specified disorders of the nervous system,samyak-snehana-nasyam,U-11,90%,"The described symptoms of 'samyak-snehana-nasyam', encompassing improved sleep, mental well-being, sensory clarity, and alleviation of ailments, point towards an overall improvement in nervous system function, best categorized under 'Other specified disorders of the nervous system' in ICD-11 as it represents a positive shift from a prior unspecified nervous system disorder rather than a specific disease.",Nittiyam,Z#21,80%,"The symptoms of Nittiyam, including fainting, mutism, and neurological signs like giddiness and dysphonia, point towards a broader neurological disorder not specifically categorized elsewhere; the mention of chronic illness in the elderly further supports this.",Amrāḍ bi'l Shirka,P-6,70%,"The Unani concept of interconnectedness of organs, particularly brain and stomach, points to a systemic disorder affecting the nervous system;  'Amrāḍ bi'l Shirka' lacks specificity for a single ICD-11 category beyond 'other specified disorders' given the description's broad nature."
Other specified functional gastrointestinal disorder,vAtasa~jcayaH,SR11 (AAA-1),70%,"The symptoms of abdominal fullness, aversion to cold (potentially indicating sensitivity to cold, a common feature in functional bowel disorders), and impaired movement (potentially relating to motility issues) described in 'vAtasa~jcayaH' suggest a functional gastrointestinal disorder, although more specifics are needed for a higher confidence level.",Vikkal Nōy,EJ,95%,'Vikkal Nōy' directly translates to 'hiccup disease' which is a symptom often associated with functional gastrointestinal disorders;  the lack of further detail makes 'Other specified' the most accurate ICD-11 category.,Ḍu‘f al-Haḍm,F-9,90%,"The description of 'Ḍu‘f al-Haḍm' as a functional disorder of the stomach and intestines, with delayed digestion and no structural abnormalities, directly corresponds to the broad category of 'Other specified functional gastrointestinal disorder' within ICD-11, encompassing conditions related to impaired digestion without identifiable organic causes."
8E00 (Other specified disorders of nerves),vAtavRuddhiH,SR12 (AAA-2),70%,"The symptoms of vAtavRuddhiH, including twitching, reduced strength, and insomnia, suggest a neurological disorder;  the lack of specificity in the Ayurveda description makes precise ICD-11 mapping challenging, hence 'Other specified disorders of nerves' is the most suitable broad category.",,,,,,,,
"K59, Other specified intestinal disorders",vAtaprakopaH,SR10  (AAA-2.1),90%,"The description of abdominal pain and increased gaseous movements in the abdomen associated with 'VataprakopaH' directly points to intestinal discomfort;  while not precise, K59 encompasses this symptom cluster better than more specific diagnoses lacking clear alignment.",,,,,,,,
Other specified disorders of the oesophagus,prasakta cCardirniShThIvikA SvAsa kAsahikkArtAnAM AsthApanas,SI-2.3.11,80%,"The description 'enema moves upward due to aggravated vāyu' suggests a dysfunction related to the oesophagus and its motility, aligning with the broad category of 'Other specified disorders of the oesophagus' in ICD-11, though more specifics are lacking.",,,,,,,,
Multiple sclerosis (MS),vyAnavAtakopaH,AAA-2.4,60%,"The symptoms described in the long definition, such as quadriplegia (sarvāṅgarōga), numbness (aṅgasuptatā), and widespread bodily symptoms (sarvāṅgaga rōga), show some overlap with the neurological manifestations of Multiple Sclerosis, although a definitive diagnosis requires further investigation;  the presence of fever and skin conditions might indicate an inflammatory process, further complicating a direct mapping.",,,,,,,,
"K70, Chronic inflammatory bowel disease",samAnavAtakopaH,AAA-2.5,80%,"The symptoms of samAnavAtakopaH, including abdominal pain (śūla), diarrhea (atisāra), and digestive issues (agnisādaḥ, grahaṇī, pakvāśayajarōga, āmāśayajarōgaḥ), strongly suggest a chronic inflammatory bowel disease, encompassing conditions like Crohn's disease or ulcerative colitis,  as per ICD-11 classification.",,,,,,,,
"K70, Other diseases of the anus and rectum",apAnavAtakopaH,AAA-2.6,90%,"The Ayurvedic description of apAnavAtakopaH, encompassing pakvāśayāśrayarōgaḥ (diseases of the rectum), arśaḥ (haemorrhoids), and gudabhraṁśaḥ (rectal prolapse), directly maps to the broad category of 'Other diseases of the anus and rectum' in ICD-11, encompassing various anorectal disorders.  The mention of urinary and seminal disorders suggests a possible overlap, but the anorectal symptoms are the most prominent and specific.",,,,,,,,
Abdominal distension and gurgling,vAtaprasaraNam,SR13(AAA-3),90%,"The symptoms of 'vAtaprasaraNam' – abnormal Vata movement, abdominal distension, and gurgling – strongly suggest increased intestinal gas and distension, aligning with ICD-11 codes related to abdominal distension, though a specific ICD-11 code needs further clinical examination to pinpoint.",,,,,,,,
8E00-Unspecified dementia,asAdhya-hikkA,EA-2.7,70%,"The symptoms described in the long definition of 'asAdhya-hikkA', such as emaciation, anorexia, incoherent speech (pralāpaḥ),semiconsciousness (mōhaḥ), and general weakness, point towards a severe neurological decline consistent with unspecified dementia, though further differential diagnosis is needed to rule out other conditions.",,,,,,,,
Delirium,buddhisaMmohaH,SQ01(ED-2.14),80%,"The Ayurvedic term 'buddhisaMmohaH', characterized by mental confusion and hallucinations potentially linked to vitiated blood, closely resembles the clinical presentation of Delirium in ICD-11, encompassing disturbed consciousness and cognitive function.",Tāntirīka Caṉṉi,TOD1.5,90%,"The core symptoms of 'Tāntirīka Caṉṉi'—delirium, fever, and cold extremities—directly correspond to the diagnostic criteria for Delirium in ICD-11, with the chillness in lower limbs being a possible additional symptom.",Ṣubārā,A-23,90%,"The Unani description of Subārā as an intensely disturbed mental state with fever, caused by an imbalance of humors ('burnt yellow bile'), strongly suggests delirium, a disturbance of consciousness and cognition often associated with fever, as classified in ICD-11."
6A00,SrAntapipAsitakShudhitAnAM vamanavyApadaH,SK-3.6,60%,"The provided definition, 'cittōpaghātaḥ [mental damage]', points towards a broad category of mental disorders.  While not specific,  'Other specified disorders of psychological development' (6A00) in ICD-11 is the closest fit given the limited information provided.",Ucci Vaḷi,RQ,70%,"While 'Ucci Vali' translates to 'vertex disease,' its nonspecific nature limits precise ICD-11 mapping.  However, given its location (vertex), 6A00 (Disorders of the nervous system affecting the head) seems the most plausible broad category, pending further clinical details.",Khalal-i-Quwā Nafsāniyya,O-585,90%,"The Unani term 'Khalal-i-Quwā Nafsāniyya' describes a derangement of psychic powers impacting sensory, perceptive, and motor functions, aligning closely with ICD-11's 'Other specified disorders of psychological development' (6A00), which encompasses a broad range of developmental problems affecting mental functions."
Pain in limb(s) due to Vata imbalance,a~ggamardaH (kEvalavAta),AAB-3 (SP9Y),90%,"The term 'aṅgamardaḥ (kevalavāta)' suggests pain (marda) in the body (aṅga) solely caused by an imbalance of Vata, a principle in Ayurveda,  which most directly maps to musculoskeletal pain, aligning with ICD-11's broad categorization of limb pain without a precise etiology specified.",,,,,,,,
Dry skin,raukShyam (kEvalavAta),SN42(AAB-77),90%,"The Ayurvedic term 'raukShyam (kEvalavAta)' describes dryness, scaliness, and cracking of the skin, primarily attributed to an imbalance of Vata dosha.  This directly corresponds to the clinical presentation of dry skin, a condition lacking a specific ICD-11 code but commonly associated with various skin disorders listed under Chapter XII.",Kāl Āṇi,BC,90%,"The Siddha term 'Kāl Āṇi' describing roughness of skin on the feet directly maps to the general clinical presentation of dry skin, a condition not specifically categorized beyond general skin dryness within ICD-11.",,,,
8G70-Musculoskeletal weakness,a~ggaviBraMSaH (kEvalavAta),SP21 (AAB-5),90%,"The Ayurvedic description of 'a~ggaviBraMSaH (kEvalavAta)' as atony or flaccidity of joints, muscles, and body parts due to aggravated Vata aligns with the ICD-11 category 8G70, encompassing musculoskeletal weakness, as Vata dosha's imbalance often manifests in motor deficits.",,,,,,,,
"G40.0, Parkinson's disease",arditaH (kEvalavAta),AAB-6,60%,"ArditaH (kEvalavAta), suggesting a purely Vata-related affliction in Ayurveda, may loosely correlate with Parkinson's disease, given Vata's association with motor control and tremor; however, this mapping lacks precision and requires further clinical details for higher confidence.",,,,,,,,
"Taste disorder, unspecified",arasaj~jatA (kEvalavAta),SM1P (AAB-7),90%,"The Ayurvedic term 'arasaj~jatA (kEvalavAta)' describes loss of taste (ageusia) potentially with anosmia and other symptoms, aligning with the broad definition of unspecified taste disorder in ICD-11, encompassing various etiologies.",,,,,,,,
