source_system,source_code,source_term,suggested_icd_name,confidence_score,justification
"Ayurveda","AYU","vyAdhi-viniScayaH","Diagnosis","25%","'Vyadhi-viniScayaH' (व्याधि-विनिश्चयः) translates to 'diagnosis of disease' in Ayurveda, which is a procedural term and not a specific disease or condition, therefore mapping it directly to a single ICD-11 code is difficult with low confidence."
"Ayurveda","DIS","vikAraH","Disorder of the nervous system","50%","The term 'vikAraH' (विकारः) in Ayurveda, lacking a specific definition, broadly indicates a disturbance or impairment.  Without further context, 'Disorder of the nervous system' is a plausible, though non-specific, ICD-11 category."
"Ayurveda","A","doShavaiShamyam","Disorders of the nervous system, unspecified","60%","The term 'doShavaiShamyam' implies an imbalance of doshas in Ayurveda, which broadly relates to overall bodily dysfunction and could manifest as various neurological or systemic symptoms, making 'Disorders of the nervous system, unspecified' a plausible, albeit non-specific, ICD-11 equivalent, lacking more detailed information about the presented symptoms."
"Ayurveda","AA","vAtavyAdhiH","Other specified disorders of the nervous system","60%","'Vātavyādhiḥ' broadly translates to 'disorders of Vāta dosha' in Ayurveda.  While Vāta is associated with neurological functions,  the lack of specific symptoms in the provided definition prevents a more precise ICD-11 mapping;  'Other specified disorders of the nervous system' offers a broad category encompassing various neurological manifestations potentially linked to an imbalance of Vāta."
"Ayurveda","AAA","doShAvasthA (vAta)","Other specified disorders of the nervous system", "60%", "While 'doShAvasthA (vAta)' points to an imbalance of Vata dosha in Ayurveda,  lack of specific clinical manifestation prevents a more precise ICD-11 mapping;  'Other specified disorders of the nervous system' offers a broad category encompassing potential neurological symptoms associated with Vata imbalance, acknowledging the limitations of direct translation."
"Ayurveda","SR11 (AAA-1)","vAtasa~jcayaH","Other specified functional gastrointestinal disorder","70%","The symptoms of abdominal fullness, aversion to cold (potentially indicating sensitivity to cold, a common feature in functional bowel disorders), and impaired movement (potentially relating to motility issues) described in 'vAtasa~jcayaH' suggest a functional gastrointestinal disorder, although more specifics are needed for a higher confidence level."
"Ayurveda","SR12 (AAA-2)","vAtavRuddhiH","8E00 (Other specified disorders of nerves)", "70%", "The symptoms of vAtavRuddhiH, including twitching, reduced strength, and insomnia, suggest a neurological disorder;  the lack of specificity in the Ayurveda description makes precise ICD-11 mapping challenging, hence 'Other specified disorders of nerves' is the most suitable broad category."
"Ayurveda","SR10  (AAA-2.1)","vAtaprakopaH","K59, Other specified intestinal disorders","90%","The description of abdominal pain and increased gaseous movements in the abdomen associated with 'VataprakopaH' directly points to intestinal discomfort;  while not precise, K59 encompasses this symptom cluster better than more specific diagnoses lacking clear alignment."
"Ayurveda","AAA-2.2","prANavAtakopaH","Other specified disorders of the nervous system","80%","The symptoms of prANavAtakopaH, including hiccup, breathlessness, impaired sense organs, cold, facial paralysis, thirst, and cough, point towards a neurological disorder, with none fitting a specific ICD-11 category better than 'Other specified disorders of the nervous system'."
"Ayurveda","AAA-2.3","udAnavAtakopaH","Other specified disorders of the oesophagus", "70%", "The symptoms described, particularly 'kaṇṭharōdha' (choking of throat) and 'chardiḥ' (vomiting), along with the location specified in 'jatrūrdhvarōga' (diseases of head and neck), point towards a possible oesophageal disorder, while the lack of precision in the description prevents a more specific ICD-11 mapping."
"Ayurveda","AAA-2.4","vyAnavAtakopaH","Multiple sclerosis (MS)","60%","The symptoms described in the long definition, such as quadriplegia (sarvāṅgarōga), numbness (aṅgasuptatā), and widespread bodily symptoms (sarvāṅgaga rōga), show some overlap with the neurological manifestations of Multiple Sclerosis, although a definitive diagnosis requires further investigation;  the presence of fever and skin conditions might indicate an inflammatory process, further complicating a direct mapping."
"Ayurveda","AAA-2.5","samAnavAtakopaH","K70, Chronic inflammatory bowel disease","80%","The symptoms of samAnavAtakopaH, including abdominal pain (śūla), diarrhea (atisāra), and digestive issues (agnisādaḥ, grahaṇī, pakvāśayajarōga, āmāśayajarōgaḥ), strongly suggest a chronic inflammatory bowel disease, encompassing conditions like Crohn's disease or ulcerative colitis,  as per ICD-11 classification."
"Ayurveda","AAA-2.6","apAnavAtakopaH","K70, Other diseases of the anus and rectum","90%","The Ayurvedic description of apAnavAtakopaH, encompassing pakvāśayāśrayarōgaḥ (diseases of the rectum), arśaḥ (haemorrhoids), and gudabhraṁśaḥ (rectal prolapse), directly maps to the broad category of 'Other diseases of the anus and rectum' in ICD-11, encompassing various anorectal disorders.  The mention of urinary and seminal disorders suggests a possible overlap, but the anorectal symptoms are the most prominent and specific."
"Ayurveda","SR13(AAA-3)","vAtaprasaraNam","Abdominal distension and gurgling","90%","The symptoms of 'vAtaprasaraNam' – abnormal Vata movement, abdominal distension, and gurgling – strongly suggest increased intestinal gas and distension, aligning with ICD-11 codes related to abdominal distension, though a specific ICD-11 code needs further clinical examination to pinpoint."
"Ayurveda","SR14 (AAA-4)","vAtakShayaH","8E00-Unspecified dementia","70%","The symptoms of 'vAtakShayaH'—sluggishness, reduced speech, lack of interest, and loss of consciousness—overlap significantly with the cognitive decline and reduced awareness seen in various forms of dementia, with 'unspecified' being used due to the limited information provided in the definition."
